,Ligand,Ar_X,Solvent,Base,Boronate,Yield,Product,rxn_SMILES
0,CC(C)(C)P(C(C)(C)C)C(C)(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,4.760000228881836,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C(C)(C)C)C(C)(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
1,c1ccc(cc1)P(c2ccccc2)c3ccccc3,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,4.119999885559082,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P(c2ccccc2)c3ccccc3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
2,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,2.5799999237060547,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
3,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,4.440000057220459,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.C1CCC(CC1)P(C2CCCCC2)C3CCCCC3.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
4,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,1.9500000476837158,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.Cc1ccccc1P(c2ccccc2C)c3ccccc3C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
5,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,3.25,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
6,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,86.26000213623047,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
7,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,7.550000190734863,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe].[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
8,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,93.66999816894531,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C.[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
9,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],ClC1=CC=C2N=CC=CC2=C1,CC#N,[OH-].[Na+],B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,14.319999694824219,Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5,ClC1=CC=C2N=CC=CC2=C1.[OH-].[Na+].B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2].[Pd].[O-]C(=O)C.[O-]C(=O)C.CC#N>>Cc3ccc1c(cnn1C2CCCCO2)c3c5ccc4ncccc4c5
