entry,Base_SMILES,Ligand_SMILES,Solvent_SMILES,Concentration,Temp_C,Yield,Substrate,Ar_X,Catalyst,Product,rxn_SMILES
0,O=C([O-])C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,105.0,5.47,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC>>N#Cc1ncn(C)c1c1ccccc1F
1,O=C([O-])C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,105.0,0.0,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C>>N#Cc1ncn(C)c1c1ccccc1F
2,O=C([O-])C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105.0,78.95,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3>>N#Cc1ncn(C)c1c1ccccc1F
3,O=C([O-])C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,105.0,7.26,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.P(C1CCCCC1)(C2CCCCC2)C3CCCCC3>>N#Cc1ncn(C)c1c1ccccc1F
4,O=C([O-])C.[K+],P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105.0,28.15,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.P(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3>>N#Cc1ncn(C)c1c1ccccc1F
5,O=C([O-])C.[K+],CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C,CC(N(C)C)=O,0.1,105.0,65.37,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CC(C1=C(C2=CC=CC=C2P(C3CCCCC3)C4CCCCC4)C(C(C)C)=CC(C(C)C)=C1)C>>N#Cc1ncn(C)c1c1ccccc1F
6,O=C([O-])C(C)(C)C.[K+],CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC,CC(N(C)C)=O,0.1,105.0,0.07,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CC(C)C1=CC(C(C)C)=C(C(C(C)C)=C1)C2=C(P(C3CCCCC3)C4CCCCC4)C(OC)=CC=C2OC>>N#Cc1ncn(C)c1c1ccccc1F
7,O=C([O-])C(C)(C)C.[K+],CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C,CC(N(C)C)=O,0.1,105.0,0.0,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CC(C)(C)P(C1=CC=CC=C1)C(C)(C)C>>N#Cc1ncn(C)c1c1ccccc1F
8,O=C([O-])C(C)(C)C.[K+],CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3,CC(N(C)C)=O,0.1,105.0,28.64,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.CN(C)C1=CC=CC(N(C)C)=C1C2=CC=CC=C2P(C(C)(C)C)C3=CC=CC=C3>>N#Cc1ncn(C)c1c1ccccc1F
9,O=C([O-])C(C)(C)C.[K+],P(C1CCCCC1)(C2CCCCC2)C3CCCCC3,CC(N(C)C)=O,0.1,105.0,10.44,N#Cc1ncn(C)c1,Brc1ccccc1F,C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1,N#Cc1ncn(C)c1c1ccccc1F,Brc1ccccc1F.N#Cc1ncn(C)c1.C=C([CH2-])->[Pd++]1<-[Cl-]->[Pd++](<-C(=C)[CH2-])<-[Cl-]->1.CC(N(C)C)=O.P(C1CCCCC1)(C2CCCCC2)C3CCCCC3>>N#Cc1ncn(C)c1c1ccccc1F
